personId;scoreBaseline;scoreClosedRoads;scoreWTime
122198;-51.07833333333333;-38.06166666666667;-45.37833333333334;
1379389;-68.63333333333334;-62.553333333333335;-45.97166666666667;
5928041;-11.916666666666666;-16.516666666666666;-20.603333333333335;
5928040;-36.20333333333333;-58.72333333333334;-52.468333333333334;
2055294;-26.076666666666668;-432.0;-432.0;
2055293;-46.315000000000005;-68.45833333333334;-58.96000000000001;
1489315;-101.98833333333334;-66.61333333333334;-68.22;
7355173;-69.28166666666667;-101.03;-92.60166666666667;
1787471;-42.70666666666667;-52.995000000000005;-51.48500000000001;
204176;-37.82;-32.766666666666666;-52.93333333333334;
3036424;-35.40166666666667;-477.21333333333337;-45.33333333333333;
11926010;-47.513333333333335;-76.64166666666668;-60.275;
2679091;-55.57166666666667;-70.34833333333333;-43.83333333333333;
952660;-21.878333333333337;-38.614999999999995;-38.05666666666667;
264680;-8.213333333333335;-22.43166666666667;-15.835;
9473736;-95.02666666666667;-108.30833333333334;-91.36500000000001;
9581601;-92.72833333333334;-47.82;-83.62666666666668;
6381215;-27.69666666666667;-43.58;-61.196666666666665;
1481823;-13.215;-34.516666666666666;-28.243333333333332;
264665;-31.643333333333338;-61.145;-32.515;
593889;-43.394999999999996;-34.26166666666667;-32.788333333333334;
6698730;-42.685;-42.83166666666667;-42.81833333333333;
6295130;-66.28;-102.13666666666668;-79.21000000000001;
6295131;-32.18166666666667;-44.39;-42.17;
1391486;-25.081666666666667;-35.62833333333333;-31.96166666666667;
122180;-77.91833333333334;-105.10833333333333;-99.81166666666667;
7880555;-22.758333333333336;-37.415000000000006;-39.863333333333344;
8849520;-60.558333333333344;-44.253333333333345;-58.06666666666668;
2265553;-52.24333333333333;-57.446666666666665;-72.66166666666666;
9701962;-34.855000000000004;-25.115000000000002;-17.883333333333333;
10460120;-60.95666666666667;-70.40166666666667;-60.833333333333336;
5497583;-19.016666666666666;-35.65166666666667;-28.883333333333333;
2062804;-69.70166666666667;-69.93333333333334;-104.44000000000001;
5497584;-52.56;-65.87;-91.66333333333334;
6982278;-40.80166666666667;-43.16166666666667;-59.70666666666666;
8568303;-15.76666666666667;-19.226666666666667;-71.20500000000001;
106945;-43.62833333333334;-42.465;-33.70666666666667;
9431985;-32.108333333333334;-34.04333333333334;-60.855000000000004;
24858;-12.34;-52.718333333333334;-39.03333333333334;
1407449;-33.465;-29.240000000000002;-39.568333333333335;
8128605;-95.07833333333333;-84.58666666666667;-526.6333333333333;
1011481;-13.060000000000002;-25.645000000000003;-27.88666666666667;
1011480;-9.065000000000001;-35.42166666666667;-42.2;
24856;-26.148333333333337;-28.823333333333334;-30.375;
540902;-50.080000000000005;-56.608333333333334;-46.00166666666667;
662534;-52.99666666666667;-34.50333333333333;-41.615;
1415069;-27.183333333333334;-35.255;-36.83;
1851759;-61.03000000000001;-50.236666666666665;-51.39;
6298668;-40.565;-63.68500000000001;-32.595;
135019;-33.06666666666667;-47.811666666666675;-35.748333333333335;
245503;-35.16166666666667;-40.97666666666667;-41.94666666666667;
245502;-115.16000000000001;-85.17333333333333;-75.46166666666666;
10350976;-10.528333333333334;-27.545;-37.96;
1286269;-50.25833333333334;-63.038333333333334;-89.08833333333335;
1617793;-43.805;-50.973333333333336;-61.625;
5928039;-56.545;-44.631666666666675;-34.29333333333334;
10350977;-8.011666666666667;-26.515;-18.87;
1934608;-87.64833333333333;-91.79833333333335;-104.17166666666667;
9871640;-124.77000000000001;-114.505;-116.44166666666666;
9871642;-41.351666666666674;-40.403333333333336;-53.724999999999994;
3293;-62.68166666666667;-64.995;-69.19;
5311057;-88.64500000000001;-102.4;-103.11666666666666;
2138121;-65.99833333333333;-61.346666666666664;-43.825;
7145388;-36.53;-38.94166666666667;-35.49;
9050171;-111.37333333333333;-110.14500000000001;-82.03166666666667;
5974453;-22.483333333333334;-50.49666666666667;-30.493333333333336;
196885;-62.37500000000001;-76.95666666666668;-79.15;
5922738;-25.66166666666667;-93.185;-75.78666666666668;
5974455;-32.055;-41.08333333333333;-33.395;
1405288;-32.80833333333334;-86.88666666666667;-56.96333333333334;
101296;-81.21166666666667;-87.54166666666667;-76.615;
7343187;-13.14;-10.695000000000002;-29.481666666666666;
1373647;-72.385;-67.53333333333333;-77.03166666666668;
11067779;-55.48833333333334;-31.053333333333335;-33.405;
6804514;-71.91333333333334;-87.62166666666667;-71.62833333333333;
9058921;-59.27666666666667;-58.67;-55.30500000000001;
9579735;-112.22666666666666;-533.7183333333334;-87.09166666666667;
9053231;-53.21666666666667;-65.01166666666667;-56.065000000000005;
1038949;-24.313333333333333;-27.5;-29.308333333333337;
11067780;-55.04666666666667;-71.02833333333335;-68.49833333333333;
9640949;-109.55833333333334;-83.57833333333335;-101.17166666666668;
1109829;-38.94833333333333;-29.62833333333334;-26.750000000000004;
2103496;-14.013333333333335;-15.366666666666667;-15.413333333333334;
10346459;-51.94833333333334;-54.565;-60.98833333333334;
6439109;-47.80833333333333;-101.30499999999999;-51.87833333333333;
9474643;-25.405;-31.033333333333335;-28.02166666666667;
162633;-62.651666666666664;-110.55166666666666;-113.17500000000003;
940263;-49.87333333333334;-59.141666666666666;-56.775000000000006;
1807619;-17.258333333333333;-25.71;-14.961666666666668;
1959907;-11.896666666666668;-11.771666666666668;-14.73;
1015832;-107.52500000000002;-80.885;-87.045;
1090228;-54.28;-58.80333333333334;-51.38333333333334;
2036505;-107.685;-87.89666666666668;-84.27166666666668;
110941;-88.42;-62.968333333333334;-55.175000000000004;
76818;-17.853333333333335;-22.705000000000002;-21.195;
10068796;-33.836666666666666;-41.64333333333334;-44.29333333333334;
9580383;-50.89666666666667;-85.11666666666667;-93.04500000000002;
37695;-52.67;-107.40833333333333;-69.62333333333333;
1821854;-61.951666666666675;-60.515;-496.54833333333335;
2133287;-76.97999999999999;-89.29333333333332;-84.99000000000001;
2158101;-71.86999999999999;-79.52500000000002;-92.86500000000001;
209445;-19.083333333333332;-16.39833333333333;-15.133333333333335;
551280;-41.260000000000005;-50.23166666666667;-451.495;
1999174;-73.57000000000001;-69.26166666666667;-62.18000000000001;
7014701;-35.718333333333334;-62.45666666666666;-49.44666666666667;
144710;-503.8;-92.74833333333333;-102.96333333333334;
4041135;-87.75333333333333;-112.085;-462.5916666666667;
10844165;-51.71833333333334;-63.12333333333335;-57.74166666666667;
1269788;-32.86833333333333;-33.556666666666665;-22.178333333333335;
1233371;-20.328333333333333;-57.81666666666666;-49.970000000000006;
207275;-10.655000000000001;-17.113333333333333;-3.7700000000000005;
9261677;-46.65666666666667;-29.828333333333333;-32.388333333333335;
9686669;-23.14333333333333;-25.833333333333332;-24.456666666666667;
10510070;-42.765;-62.655;-46.49333333333334;
241;-24.125000000000004;-29.538333333333334;-21.135;
335575;-65.73666666666666;-61.951666666666675;-72.20666666666668;
5866909;-120.78166666666667;-101.83166666666668;-96.05166666666668;
1783141;-55.47833333333334;-42.39666666666667;-80.46333333333334;
2079699;-37.46333333333334;-51.595;-29.605000000000004;
108626;-71.55833333333334;-108.94;-89.91833333333334;
10237366;-36.513333333333335;-52.16833333333334;-38.010000000000005;
10237365;-18.450000000000003;-34.49333333333333;-19.643333333333334;
47476;-56.05166666666668;-87.36666666666667;-82.075;
7226;-26.123333333333335;-55.22833333333334;-40.53666666666667;
11349404;-96.54833333333335;-538.885;-87.03833333333334;
1726567;-26.64166666666667;-72.10166666666667;-58.94833333333334;
8512704;-51.455;-38.69666666666667;-81.20166666666667;
611769;-48.69500000000001;-502.70666666666665;-62.2;
611767;-27.60666666666667;-44.22166666666667;-29.61666666666667;
10460637;-34.05666666666667;-35.208333333333336;-21.448333333333334;
5434375;-49.248333333333335;-47.19833333333334;-55.15833333333334;
6107585;-46.95166666666667;-64.37833333333333;-71.53333333333333;
421917;-51.80333333333334;-38.56;-37.54666666666667;
919230;-67.1;-50.61;-50.748333333333335;
6868972;-55.620000000000005;-57.98000000000001;-39.61;
11797969;-40.550000000000004;-25.883333333333333;-25.47166666666667;
1566138;-84.91000000000003;-87.87666666666665;-78.59333333333335;
10346819;-95.83666666666666;-86.185;-65.01166666666667;
10437804;-30.16666666666667;-51.81;-14.108333333333334;
1520336;-33.62166666666667;-52.75666666666667;-47.68666666666667;
141232;-47.62833333333334;-66.855;-68.48000000000002;
3738529;-16.118333333333332;-55.20666666666667;-53.60666666666667;
8500735;-54.31833333333333;-53.718333333333334;-63.36;
8500736;-24.721666666666668;-19.205000000000002;-17.21166666666667;
256652;-17.601666666666667;-18.46;-28.365000000000002;
8499607;-34.553333333333335;-64.81666666666666;-50.150000000000006;
2147488;-22.328333333333333;-22.04;-25.41666666666667;
7227;-35.64333333333334;-48.445;-36.77;
2446556;-24.123333333333335;-37.343333333333334;-32.248333333333335;
46127;-49.89333333333333;-53.821666666666665;-60.65666666666667;
10364297;-67.85166666666667;-86.09;-91.17166666666667;
902817;-34.62833333333333;-22.965000000000003;-30.783333333333335;
713419;-46.295;-83.70833333333334;-69.18833333333333;
23489;-35.29833333333333;-76.73166666666668;-108.35500000000002;
6804017;-29.25;-28.765;-40.11166666666667;
557860;-43.958333333333336;-41.485;-43.843333333333334;
896330;-53.540000000000006;-52.55833333333334;-31.765;
708062;-42.428333333333335;-74.82000000000001;-43.36500000000001;
3396894;-99.32333333333335;-89.72;-94.39;
493141;-59.33166666666667;-53.75333333333334;-56.72166666666667;
662938;-52.28000000000001;-432.0;-432.0;
662936;-18.81;-23.37666666666667;-57.69166666666668;
662935;-3.0316666666666667;-10.308333333333334;-10.025;
1565224;-46.981666666666676;-58.41166666666666;-56.94333333333333;
1200005;-7.285000000000001;-18.758333333333333;-9.676666666666668;
1337025;-78.155;-72.22833333333334;-70.41499999999999;
1651600;-39.598333333333336;-67.17333333333335;-70.58833333333334;
913957;-52.49666666666667;-40.214999999999996;-53.3;
6434715;-37.88666666666667;-34.20166666666667;-42.30333333333334;
7193068;-42.96166666666667;-62.186666666666675;-61.10000000000001;
1472018;-21.336666666666666;-26.148333333333333;-31.203333333333333;
7193066;-72.73166666666667;-85.56166666666667;-45.69333333333334;
282984;-16.02166666666667;-47.64333333333334;-31.531666666666666;
85324;-59.795;-52.69166666666667;-41.63;
8311055;-55.22833333333334;-63.693333333333335;-63.818333333333335;
85322;-62.44833333333334;-66.43166666666667;-61.263333333333335;
4359288;-116.66166666666668;-432.0;-120.37833333333334;
1426141;-70.37833333333333;-73.20500000000001;-36.55666666666667;
10960591;-45.60666666666667;-17.221666666666668;-17.325000000000003;
666084;-35.32666666666667;-34.98833333333334;-37.223333333333336;
1374455;-66.94500000000001;-49.17666666666668;-37.275000000000006;
7067257;-113.17666666666666;-86.30166666666669;-56.83666666666667;
1530175;-48.89333333333333;-14.473333333333334;-37.08666666666667;
830541;-62.13333333333333;-59.13000000000001;-63.545;
72032;-64.22500000000001;-68.49166666666667;-46.13333333333334;
7435000;-83.20333333333333;-84.21166666666666;-59.87166666666667;
1577222;-35.27666666666667;-12.286666666666667;-21.865000000000002;
1822726;-92.84333333333335;-85.30666666666667;-70.85666666666667;
72031;-41.70333333333334;-78.98833333333334;-63.75;
1426143;-13.955000000000002;-39.125;-10.870000000000001;
373799;-55.785;-23.906666666666666;-37.33666666666667;
1916819;-30.105000000000004;-39.61333333333334;-32.23666666666667;
1664916;-16.136666666666667;-23.398333333333333;-24.52666666666667;
85358;-66.74833333333333;-57.23500000000001;-72.81166666666667;
6133001;-71.45333333333335;-50.64333333333333;-43.96;
840313;-13.485000000000003;-12.878333333333334;-11.303333333333335;
840318;-70.89666666666666;-64.25166666666668;-81.905;
1762600;-26.523333333333333;-27.018333333333338;-26.765;
9876118;-59.07333333333333;-56.495000000000005;-59.891666666666666;
1339227;-33.80166666666667;-68.44;-69.76166666666667;
4539745;-41.05666666666667;-58.895;-49.318333333333335;
611720;-37.36833333333333;-44.405;-43.19166666666666;
9927754;-55.16666666666667;-51.66166666666667;-37.41166666666667;
84016;-57.235;-74.67;-61.55333333333334;
311559;-47.54333333333333;-61.33333333333333;-48.45666666666668;
11789919;-35.71666666666667;-43.17000000000001;-44.440000000000005;
144708;-56.88;-69.29500000000002;-73.26333333333335;
144709;-26.936666666666667;-24.013333333333335;-27.730000000000004;
1349029;-24.23166666666667;-32.04333333333334;-29.625;
8562107;-45.26833333333333;-36.65166666666667;-62.83;
2037084;-19.861666666666668;-30.986666666666668;-45.983333333333334;
4774417;-55.64000000000001;-32.098333333333336;-97.83;
1837801;-26.740000000000002;-41.38;-37.51166666666667;
8427610;-32.675;-45.61333333333334;-510.9116666666667;
8124720;-37.295;-68.03;-434.9;
9559385;-35.065000000000005;-56.35333333333333;-61.15833333333333;
937962;-25.386666666666663;-14.866666666666669;-30.59;
348807;-27.946666666666665;-20.708333333333336;-31.171666666666667;
8124719;-49.68333333333334;-62.375;-36.00833333333333;
9733210;-55.83500000000001;-68.75833333333334;-60.51166666666667;
348806;-53.596666666666664;-86.02999999999999;-59.52000000000001;
10348176;-41.56;-35.70166666666667;-16.499999999999996;
9977167;-65.40166666666667;-64.73833333333334;-52.72;
350229;-65.15833333333333;-90.00666666666667;-96.025;
1916820;-18.673333333333336;-47.16;-29.380000000000003;
6132977;-34.71;-39.525000000000006;-31.18;
1201379;-18.456666666666667;-34.278333333333336;-21.275000000000002;
1630288;-58.24666666666667;-70.30333333333334;-63.75666666666667;
8427608;-28.516666666666666;-54.35166666666667;-60.96666666666667;
854586;-41.39166666666667;-61.81833333333334;-50.400000000000006;
5700145;-66.54500000000002;-85.01500000000001;-49.095;
4795360;-28.088333333333335;-24.811666666666667;-26.763333333333335;
9731047;-108.99666666666667;-69.79166666666667;-64.02000000000001;
58567;-69.97833333333334;-95.67666666666668;-91.38000000000001;
313718;-40.748333333333335;-82.13333333333334;-64.23166666666667;
9794604;-36.45833333333334;-45.97666666666667;-32.43833333333333;
1363335;-31.561666666666667;-32.32833333333333;-37.45;
68378;-81.61333333333334;-81.66;-120.98833333333334;
1429613;-92.48000000000002;-93.69666666666669;-86.33833333333334;
4832521;-64.24333333333334;-74.405;-84.34666666666668;
1188166;-97.35000000000001;-82.89333333333335;-99.58333333333334;
507989;-37.685;-30.796666666666667;-34.00833333333333;
81359;-39.45666666666667;-37.97500000000001;-57.36666666666667;
6132979;-69.53333333333333;-84.76666666666668;-73.53833333333333;
1096419;-47.99666666666667;-66.775;-70.37833333333334;
3270795;-25.68;-45.30666666666667;-47.615;
1888135;-56.70833333333334;-47.14833333333334;-52.36166666666667;
1888136;-58.396666666666675;-70.19666666666667;-51.935;
905916;-57.0;-75.50166666666668;-59.57666666666667;
1507762;-43.58833333333333;-47.290000000000006;-57.935;
7455449;-75.82166666666667;-64.155;-53.93666666666667;
9434575;-72.71833333333333;-54.65166666666667;-56.94833333333334;
7057005;-48.72166666666667;-50.955000000000005;-85.24500000000002;
179426;-19.773333333333333;-40.096666666666664;-51.653333333333336;
6014566;-61.016666666666666;-91.77166666666668;-64.70833333333334;
1622693;-59.13333333333334;-60.226666666666674;-59.32666666666667;
4493756;-21.025000000000002;-41.995000000000005;-33.24666666666667;
4977188;-24.87;-20.355;-24.855;
1975602;-32.30666666666667;-34.31166666666667;-35.085;
10506467;-54.491666666666674;-41.57333333333334;-27.800000000000004;
2029896;-40.44166666666666;-60.766666666666666;-46.150000000000006;
377734;-60.098333333333336;-68.92;-74.29666666666667;
2006773;-41.13333333333334;-59.29833333333334;-24.653333333333336;
2006772;-32.126666666666665;-35.78333333333333;-33.155;
1882814;-72.81;-83.05333333333334;-76.32833333333335;
2115824;-24.945;-39.251666666666665;-31.648333333333333;
2127803;-51.86333333333333;-72.73166666666668;-61.05666666666667;
145606;-29.83166666666667;-37.485;-33.30166666666667;
8895011;-37.185;-84.30833333333334;-29.233333333333334;
5086859;-52.531666666666666;-85.59500000000001;-84.87833333333334;
562789;-21.51166666666667;-4.041666666666667;-2.8466666666666667;
242916;-27.060000000000002;-34.94833333333334;-52.230000000000004;
632216;-25.880000000000003;-16.25166666666667;-26.80666666666667;
4567800;-24.748333333333335;-15.986666666666668;-25.27666666666667;
1470236;-57.27;-67.61333333333334;-77.02333333333334;
6581278;-41.82833333333333;-44.306666666666665;-49.708333333333336;
9772838;-50.99;-70.68;-38.42666666666667;
9772839;-88.93;-85.02999999999999;-113.42500000000001;
307009;-23.32;-29.950000000000003;-31.433333333333337;
7165894;-40.84666666666667;-29.36;-30.933333333333334;
622466;-13.43;-29.86;-17.605;
1362073;-22.033333333333335;-13.275;-12.751666666666669;
2103812;-54.818333333333335;-74.95666666666666;-51.208333333333336;
10353537;-35.39833333333333;-43.28333333333333;-62.385000000000005;
25245;-16.69166666666667;-21.455000000000002;-19.083333333333336;
25247;-16.901666666666667;-35.928333333333335;-34.11333333333333;
11131221;-45.31;-29.003333333333337;-49.08333333333334;
1711906;-19.465;-33.553333333333335;-36.31;
8499247;-21.325000000000003;-27.438333333333336;-40.64333333333334;
3456131;-83.90333333333334;-44.42333333333333;-46.521666666666675;
3644242;-39.748333333333335;-48.42000000000001;-48.62666666666667;
635740;-20.701666666666668;-57.46166666666667;-44.90833333333333;
146953;-31.661666666666665;-99.55166666666668;-57.23833333333334;
11107127;-43.79333333333334;-41.12833333333334;-44.358333333333334;
311946;-33.803333333333335;-46.79666666666667;-45.24166666666667;
9810707;-15.601666666666668;-25.71;-21.611666666666668;
273627;-7.2233333333333345;-21.365;-22.90833333333333;
1601335;-103.49666666666666;-113.24166666666667;-97.95666666666668;
9875663;-14.333333333333334;-23.916666666666664;-20.016666666666666;
8047485;-27.975;-40.02333333333334;-30.743333333333336;
224252;-74.77166666666668;-84.14500000000001;-78.49666666666667;
3601541;-42.95666666666667;-37.58;-37.87833333333334;
8816273;-15.870000000000001;-18.03666666666667;-46.51500000000001;
8061769;-56.95833333333334;-52.31833333333334;-64.545;
3601540;-38.638333333333335;-39.135000000000005;-39.955;
9735463;-63.49000000000001;-109.66833333333334;-94.62833333333333;
1208816;-43.15166666666667;-64.99333333333334;-47.998333333333335;
180846;-49.15166666666667;-51.425000000000004;-70.95500000000001;
10424548;-101.28333333333333;-72.19833333333334;-53.345;
2622472;-74.99333333333334;-66.26666666666667;-45.39666666666667;
10692588;-106.50833333333334;-33.85666666666667;-21.66166666666667;
1288994;-14.821666666666669;-40.373333333333335;-26.380000000000003;
111355;-68.23500000000001;-62.613333333333344;-46.65166666666667;
1001993;-30.688333333333336;-69.37166666666667;-35.56333333333333;
1288995;-31.691666666666663;-70.115;-83.58666666666666;
733508;-45.965;-35.101666666666674;-41.17000000000001;
10426381;-28.528333333333336;-18.535;-22.953333333333333;
10074313;-34.42;-38.06166666666667;-52.04333333333334;
1631527;-38.475;-84.35333333333334;-48.650000000000006;
1377227;-85.47000000000001;-74.65;-100.59166666666665;
723700;-91.28333333333335;-100.18333333333334;-523.5866666666667;
1907713;-34.445;-79.74666666666667;-72.705;
135332;-13.170000000000002;-30.08833333333334;-16.745;
137510;-23.51666666666667;-52.45333333333333;-48.525000000000006;
822225;-43.461666666666666;-45.125;-41.10166666666667;
250566;-65.14833333333334;-73.36333333333333;-83.16166666666668;
1081674;-11.471666666666668;-39.251666666666665;-29.473333333333336;
136667;-10.096666666666668;-44.321666666666665;-33.64833333333333;
135335;-26.043333333333337;-78.955;-68.36000000000001;
9581906;-73.94;-71.39833333333334;-72.73333333333333;
8569133;-20.026666666666667;-40.138333333333335;-37.63166666666667;
1105;-38.17666666666666;-63.71833333333334;-86.95666666666668;
1206659;-54.394999999999996;-81.135;-78.83166666666665;
1298795;-11.545;-29.838333333333335;-38.04333333333334;
1589;-41.85;-63.653333333333336;-76.405;
1104;-13.548333333333334;-39.15166666666667;-47.50833333333334;
1588;-22.061666666666667;-44.81666666666666;-39.71333333333333;
1587;-16.416666666666668;-45.20333333333333;-44.33166666666666;
5558767;-35.16833333333334;-38.388333333333335;-32.74333333333333;
76136;-43.59666666666667;-33.905;-27.765;
1937112;-15.188333333333336;-21.123333333333335;-19.066666666666666;
2013143;-36.38333333333334;-41.77333333333333;-36.69833333333334;
5942;-21.248333333333335;-28.168333333333337;-24.018333333333334;
881897;-38.735;-42.77666666666667;-58.39833333333333;
5692065;-61.61666666666667;-38.93333333333334;-39.79;
